Year,Month,Manufacturer,Model,Sales,Region
2020,January,Honda,Convertible,4391,Kanto
2023,March,Toyota,Sedan,4940,Chubu
2016,May,Toyota,Sedan,3189,Kyushu
2013,August,Honda,Sedan,1653,Shikoku
2012,July,Mazda,Sedan,2571,Kyushu
2019,December,Nissan,SUV,1997,Kyushu
2021,May,Honda,Convertible,4372,Kyushu
2022,September,Subaru,SUV,3327,Kyushu
2018,February,Mazda,Hatchback,3973,Kansai
2024,February,Honda,Convertible,4333,Chugoku
2015,July,Subaru,Hatchback,4992,Shikoku
2023,June,Mazda,SUV,2550,Shikoku
2022,January,Toyota,SUV,1306,Chugoku
2015,March,Toyota,Hatchback,3172,Hokkaido
2010,March,Nissan,Truck,2575,Chubu
2018,December,Honda,SUV,4406,Kansai
2015,March,Toyota,SUV,2890,Chubu
2013,January,Toyota,Sedan,2276,Kanto
2014,September,Honda,Sedan,1514,Kyushu
2016,March,Honda,Truck,4205,Tohoku
2022,May,Toyota,Convertible,4782,Tohoku
2022,June,Nissan,SUV,1527,Kanto
2013,September,Toyota,Hatchback,3937,Tohoku
2010,May,Toyota,Convertible,1886,Tohoku
2018,July,Subaru,Sedan,1553,Kanto
2016,November,Mazda,Hatchback,4545,Kanto
2019,March,Mazda,Convertible,2287,Kansai
2019,April,Toyota,Hatchback,4359,Kyushu
2017,November,Nissan,Sedan,4467,Chugoku
2017,June,Mazda,Sedan,3205,Chugoku
2016,December,Toyota,Truck,4110,Tohoku
2010,September,Mazda,Convertible,4898,Hokkaido
2019,August,Honda,Convertible,1157,Hokkaido
2013,May,Toyota,SUV,2289,Hokkaido
2024,March,Nissan,Hatchback,2088,Hokkaido
2018,August,Nissan,Truck,1498,Hokkaido
2014,October,Toyota,SUV,1549,Shikoku
2020,March,Honda,Truck,3144,Chubu
2023,September,Nissan,Sedan,2783,Kanto
2017,October,Nissan,Sedan,4254,Kansai
2016,July,Toyota,Convertible,2918,Chugoku
2018,February,Nissan,Hatchback,3976,Tohoku
2016,November,Toyota,Convertible,4429,Chugoku
2012,July,Honda,Sedan,1353,Chugoku
2017,August,Honda,Truck,3078,Kansai
2010,April,Honda,Sedan,1334,Hokkaido
2020,October,Toyota,Truck,2740,Chubu
2015,July,Mazda,SUV,4385,Chugoku
2020,April,Mazda,SUV,1010,Kansai
2010,February,Mazda,Convertible,2553,Chubu
2020,November,Honda,Convertible,3894,Kansai
2024,April,Toyota,Sedan,3288,Chubu
2018,November,Subaru,Convertible,3231,Kansai
2011,July,Toyota,Hatchback,3302,Chubu
2015,July,Toyota,Hatchback,3495,Kanto
2011,September,Toyota,Hatchback,2184,Kanto
2012,November,Subaru,Sedan,3303,Kanto
2016,May,Honda,Sedan,1429,Shikoku
2018,April,Toyota,Sedan,4099,Tohoku
2015,September,Mazda,Truck,4743,Shikoku
2011,August,Nissan,Convertible,3970,Kyushu
2021,September,Nissan,Truck,2087,Chugoku
2019,September,Nissan,Sedan,4920,Chugoku
2015,April,Honda,Hatchback,4080,Kyushu
2013,January,Mazda,Sedan,4949,Kanto
2010,May,Subaru,Convertible,4853,Shikoku
2010,January,Toyota,Sedan,2278,Kyushu
2017,May,Toyota,Hatchback,1874,Hokkaido
2014,September,Mazda,Truck,3751,Chubu
2019,September,Nissan,Convertible,1527,Tohoku
2010,December,Subaru,SUV,2698,Chugoku
2023,February,Subaru,Convertible,1706,Hokkaido
2023,April,Subaru,Hatchback,1183,Tohoku
2022,July,Mazda,Truck,2239,Shikoku
2019,August,Honda,SUV,3264,Kanto
2016,March,Subaru,Truck,3118,Hokkaido
2012,October,Mazda,Convertible,2219,Hokkaido
2017,May,Toyota,Truck,3465,Tohoku
2012,December,Mazda,Truck,3048,Kyushu
2014,December,Toyota,Convertible,1219,Kansai
2020,January,Mazda,Sedan,1389,Kanto
2024,May,Honda,Truck,4995,Kanto
2023,December,Subaru,Hatchback,1843,Kansai
2015,August,Toyota,Convertible,4950,Tohoku
2019,May,Nissan,Convertible,4427,Kansai
2021,February,Honda,Convertible,4116,Shikoku
2013,December,Subaru,Truck,1473,Shikoku
2010,July,Honda,SUV,3488,Shikoku
2017,June,Honda,Hatchback,3720,Tohoku
2017,February,Honda,Hatchback,3856,Kanto
2022,February,Nissan,Sedan,2141,Kansai
2010,January,Nissan,Convertible,2554,Kanto
2022,December,Subaru,SUV,4559,Kanto
2013,December,Subaru,Sedan,4518,Tohoku
2018,February,Subaru,Truck,1351,Hokkaido
2012,October,Nissan,Truck,1541,Kansai
2021,November,Nissan,Convertible,1765,Kyushu
2017,March,Toyota,Truck,1026,Kyushu
2024,August,Honda,Hatchback,1762,Kyushu
2023,June,Nissan,Sedan,2920,Chugoku
2020,December,Mazda,Truck,1844,Kanto
2017,December,Nissan,Convertible,4637,Kanto
2014,October,Mazda,Hatchback,2746,Kyushu
2020,July,Nissan,Convertible,2869,Kanto
2021,November,Subaru,SUV,1078,Kyushu
2016,December,Toyota,Truck,2795,Chubu
2019,September,Mazda,SUV,2722,Tohoku
2011,March,Mazda,Convertible,1003,Kansai
2015,April,Nissan,Convertible,3878,Kyushu
2011,January,Honda,SUV,2103,Kyushu
2015,December,Subaru,Hatchback,1744,Kanto
2021,August,Subaru,Hatchback,2227,Shikoku
2014,July,Toyota,Convertible,1925,Kansai
2010,August,Subaru,Sedan,2762,Shikoku
2011,April,Honda,Truck,3381,Chugoku
2013,January,Subaru,SUV,2936,Kansai
2021,August,Toyota,Hatchback,4233,Shikoku
2018,March,Toyota,Convertible,3511,Hokkaido
2022,February,Subaru,Convertible,2406,Kanto
2024,July,Subaru,Sedan,2441,Kanto
2017,June,Toyota,Convertible,4182,Kyushu
2012,July,Mazda,Hatchback,3145,Shikoku
2023,April,Honda,Sedan,2150,Kyushu
2021,April,Nissan,SUV,4323,Kanto
2011,December,Honda,Truck,3373,Chugoku
2010,January,Mazda,Convertible,2012,Tohoku
2012,February,Subaru,Truck,3937,Chugoku
2019,December,Honda,SUV,1563,Chugoku
2010,May,Honda,Hatchback,3092,Kansai
2023,June,Nissan,Convertible,2406,Kanto
2020,April,Mazda,Hatchback,2703,Kyushu
2014,May,Honda,Convertible,4602,Kansai
2015,June,Toyota,Sedan,3049,Tohoku
2015,January,Toyota,Sedan,3246,Tohoku
2021,September,Honda,Convertible,3987,Chugoku
2024,August,Subaru,Sedan,2059,Chubu
2020,January,Toyota,SUV,1316,Shikoku
2024,November,Subaru,Convertible,3217,Chubu
2023,June,Mazda,Sedan,2010,Tohoku
2016,November,Toyota,Sedan,4140,Shikoku
2016,April,Nissan,Sedan,2933,Chubu
2022,May,Toyota,Sedan,2656,Chubu
2015,March,Mazda,Convertible,4336,Kanto
2020,June,Nissan,SUV,1729,Kyushu
2022,December,Nissan,Truck,3097,Chubu
2011,June,Subaru,Convertible,1519,Kansai
2023,February,Mazda,SUV,4800,Chugoku
2012,February,Mazda,SUV,2215,Tohoku
2013,December,Honda,Sedan,2044,Chubu
2021,September,Nissan,Convertible,4381,Hokkaido
2013,November,Honda,Sedan,2949,Shikoku
2010,October,Toyota,Hatchback,3685,Tohoku
2013,September,Toyota,Convertible,3103,Kyushu
2022,December,Subaru,SUV,1967,Shikoku
2020,December,Honda,Sedan,3414,Chugoku
2016,December,Nissan,SUV,2200,Tohoku
2021,May,Toyota,SUV,4357,Chugoku
2011,May,Subaru,SUV,4503,Kanto
2022,December,Nissan,Truck,1359,Chugoku
2018,June,Mazda,Convertible,1330,Chugoku
2016,February,Toyota,Hatchback,1873,Chubu
2012,December,Nissan,Truck,1797,Tohoku
2016,November,Mazda,Sedan,1668,Kyushu
2023,August,Toyota,SUV,4332,Tohoku
2013,November,Honda,Hatchback,1493,Kansai
2018,March,Honda,Sedan,1602,Hokkaido
2017,June,Mazda,Hatchback,1286,Chubu
2017,June,Nissan,SUV,3267,Shikoku
2013,July,Subaru,SUV,4483,Kansai
2017,March,Subaru,Hatchback,1837,Chugoku
2020,May,Subaru,SUV,3276,Kyushu
2023,September,Mazda,Hatchback,2393,Kanto
2024,January,Nissan,Convertible,3084,Hokkaido
2014,November,Nissan,Convertible,1372,Hokkaido
2012,July,Toyota,Convertible,4718,Kyushu
2011,June,Subaru,Hatchback,4042,Kanto
2020,April,Mazda,Convertible,3127,Tohoku
2016,March,Nissan,Sedan,4448,Tohoku
2015,September,Mazda,Sedan,2922,Kanto
2016,February,Honda,Sedan,1369,Tohoku
2013,February,Toyota,Convertible,2083,Kyushu
2017,May,Toyota,SUV,1165,Kyushu
2017,December,Toyota,Truck,1538,Kansai
2010,April,Mazda,Hatchback,3371,Tohoku
2015,November,Honda,Truck,1152,Hokkaido
2018,June,Mazda,Convertible,3959,Kanto
2013,December,Toyota,Convertible,4285,Chubu
2010,February,Nissan,SUV,3490,Tohoku
2018,November,Nissan,Hatchback,3333,Kanto
2010,April,Mazda,Hatchback,4833,Chugoku
2014,March,Honda,Hatchback,4781,Kanto
2020,July,Honda,Sedan,3457,Chugoku
2017,February,Subaru,Sedan,2982,Kansai
2010,March,Subaru,Truck,4867,Shikoku
2011,July,Toyota,Truck,2645,Kansai
2022,November,Toyota,Sedan,3808,Tohoku
2017,August,Mazda,Convertible,4796,Kansai
2018,October,Nissan,Sedan,1964,Chugoku
2010,June,Mazda,SUV,3178,Chugoku
2019,May,Mazda,SUV,1336,Kansai
2020,May,Subaru,SUV,4690,Shikoku
2012,September,Nissan,SUV,3410,Kanto
2021,October,Subaru,Convertible,1729,Hokkaido
2012,December,Subaru,Sedan,4192,Kanto
2015,January,Toyota,SUV,1457,Kansai
2018,December,Honda,Convertible,4353,Kanto
2016,September,Nissan,SUV,2040,Shikoku
2016,October,Toyota,Truck,2243,Kansai
2019,January,Nissan,SUV,1174,Kansai
2024,June,Toyota,SUV,1592,Chubu
2020,April,Nissan,Hatchback,2014,Chubu
2018,November,Honda,Convertible,2189,Chugoku
2022,December,Nissan,Convertible,2758,Kanto
2011,January,Mazda,Sedan,3416,Kansai
2017,June,Toyota,Truck,4495,Kanto
2023,August,Honda,SUV,4589,Tohoku
2014,August,Nissan,SUV,4900,Kanto
2012,September,Nissan,Hatchback,3053,Kanto
2016,September,Subaru,SUV,3283,Chubu
2013,March,Nissan,Hatchback,2615,Shikoku
2022,August,Honda,Truck,1847,Hokkaido
2023,April,Honda,Convertible,2066,Kanto
2018,November,Subaru,Convertible,1995,Chugoku
2022,November,Nissan,Sedan,1232,Hokkaido
2014,June,Nissan,Truck,2324,Shikoku
2011,February,Subaru,Convertible,1939,Hokkaido
2013,July,Mazda,Convertible,1266,Kansai
2012,May,Honda,Hatchback,3362,Kyushu
2020,November,Honda,Convertible,2266,Shikoku
2010,January,Mazda,Convertible,2372,Tohoku
2010,February,Toyota,Truck,2616,Hokkaido
2023,March,Nissan,Truck,4873,Shikoku
2017,March,Toyota,Sedan,4454,Tohoku
2018,July,Honda,Convertible,2304,Kyushu
2023,November,Honda,Sedan,4843,Chubu
2016,May,Subaru,Convertible,2075,Kansai
2014,June,Toyota,Hatchback,4700,Kyushu
2011,July,Honda,Hatchback,4786,Kyushu
2018,February,Mazda,Hatchback,2384,Chubu
2010,October,Nissan,SUV,4455,Kansai
2014,September,Mazda,Truck,4175,Kanto
2022,August,Nissan,Truck,4432,Kyushu
2015,July,Honda,Sedan,1921,Kanto
2011,June,Honda,Sedan,1318,Chubu
2018,September,Honda,Hatchback,2499,Shikoku
2018,January,Honda,Hatchback,2285,Kansai
2015,May,Subaru,Hatchback,4157,Chubu
2014,September,Subaru,Convertible,3408,Kyushu
2024,August,Honda,SUV,1883,Chubu
2021,April,Toyota,Truck,3294,Chugoku
2016,June,Mazda,Convertible,1083,Shikoku
2024,November,Subaru,Sedan,4698,Shikoku
2017,October,Honda,Truck,1679,Hokkaido
2023,September,Subaru,Hatchback,4363,Shikoku
2019,September,Honda,SUV,2012,Kansai
2020,February,Nissan,Convertible,2174,Kansai
2022,December,Nissan,Convertible,2085,Kanto
2012,June,Subaru,Sedan,4886,Chubu
2016,October,Subaru,SUV,1186,Kansai
2023,October,Subaru,Sedan,3693,Chugoku
2023,February,Mazda,Convertible,1883,Kyushu
2021,March,Subaru,Hatchback,1479,Chubu
2012,July,Honda,Hatchback,2414,Kyushu
2016,May,Mazda,Truck,2900,Hokkaido
2014,April,Mazda,Convertible,4365,Chugoku
2022,December,Toyota,Hatchback,3569,Tohoku
2010,February,Toyota,Truck,2614,Shikoku
2014,February,Subaru,Truck,4853,Shikoku
2016,May,Subaru,SUV,1673,Hokkaido
2013,December,Mazda,SUV,2007,Tohoku
2022,September,Nissan,Hatchback,3838,Tohoku
2021,February,Toyota,Truck,4704,Chugoku
2010,September,Mazda,Hatchback,2071,Kanto
2020,March,Honda,Truck,4631,Kyushu
2010,April,Nissan,Sedan,3525,Kanto
2016,November,Toyota,Truck,4572,Tohoku
2017,December,Honda,Truck,2318,Chugoku
2019,April,Subaru,Truck,3396,Kyushu
2011,November,Mazda,Convertible,3114,Kyushu
2019,December,Mazda,Sedan,4009,Kyushu
2013,June,Mazda,Truck,3111,Shikoku
2013,April,Subaru,SUV,4360,Shikoku
2012,April,Mazda,Sedan,4672,Kanto
2016,October,Mazda,SUV,2980,Tohoku
2016,October,Nissan,Hatchback,2087,Chubu
2017,June,Nissan,Truck,3015,Kanto
2018,November,Toyota,Hatchback,2850,Kansai
2014,February,Honda,Convertible,3851,Chubu
2021,April,Honda,SUV,3462,Kansai
2018,October,Toyota,Hatchback,2187,Kyushu
2020,December,Honda,Hatchback,1691,Kanto
2023,July,Toyota,Hatchback,4904,Chugoku
2018,May,Mazda,Sedan,2905,Kyushu
2011,July,Subaru,Hatchback,3572,Kyushu
2024,February,Honda,Hatchback,3157,Kansai
2022,May,Mazda,Hatchback,1444,Tohoku
2024,September,Nissan,Hatchback,1452,Kyushu
2012,September,Honda,Sedan,2193,Kansai
2015,September,Toyota,SUV,4102,Chugoku
2018,July,Honda,SUV,3984,Shikoku
2015,June,Honda,Convertible,1909,Shikoku
2015,January,Nissan,Convertible,3203,Tohoku
2021,May,Toyota,Convertible,2712,Kyushu
2017,September,Toyota,Sedan,1812,Kanto
2022,June,Toyota,Truck,4636,Hokkaido
2012,May,Honda,SUV,4440,Tohoku
2013,October,Toyota,SUV,3580,Kyushu
2011,December,Toyota,Convertible,1607,Chugoku
2016,June,Toyota,Convertible,3445,Chubu
2022,January,Mazda,Truck,4042,Shikoku
2023,February,Nissan,Truck,3901,Kanto
2021,August,Nissan,Sedan,3883,Kansai
2014,May,Honda,Hatchback,3125,Hokkaido
2012,June,Honda,Truck,1123,Shikoku
2017,March,Mazda,Hatchback,3795,Shikoku
2014,February,Toyota,Truck,4079,Tohoku
2020,August,Honda,Truck,4304,Tohoku
2012,January,Nissan,Hatchback,3342,Kanto
2012,February,Subaru,Sedan,4461,Kanto
2024,January,Honda,Sedan,3392,Hokkaido
2011,August,Subaru,Truck,2823,Shikoku
2020,July,Nissan,Sedan,3456,Chugoku
2014,January,Nissan,Sedan,3512,Kanto
2019,March,Nissan,Truck,4583,Kansai
2020,April,Subaru,Sedan,1250,Tohoku
2017,October,Subaru,Truck,4368,Tohoku
2013,September,Toyota,Sedan,1140,Kyushu
2011,June,Toyota,Convertible,4421,Kyushu
2015,February,Toyota,Convertible,1371,Chugoku
2011,December,Nissan,Sedan,1995,Chubu
2014,April,Mazda,Truck,3070,Kansai
2011,September,Nissan,Hatchback,2257,Hokkaido
2018,February,Mazda,Sedan,2540,Kanto
2016,June,Mazda,Convertible,3773,Chugoku
2010,August,Toyota,Hatchback,1660,Hokkaido
2015,June,Honda,SUV,3735,Shikoku
2019,January,Mazda,SUV,2436,Shikoku
2023,November,Nissan,Hatchback,2083,Tohoku
2020,November,Toyota,Truck,3956,Kansai
2011,December,Subaru,Convertible,2845,Hokkaido
2011,February,Mazda,Hatchback,1659,Chubu
2010,March,Nissan,Sedan,3655,Kansai
2020,November,Nissan,SUV,1828,Hokkaido
2012,April,Honda,SUV,3010,Kyushu
2014,July,Honda,Convertible,3537,Tohoku
2024,July,Nissan,Convertible,4960,Shikoku
2015,December,Toyota,Hatchback,4564,Kanto
2017,December,Mazda,Convertible,3436,Kyushu
2019,December,Nissan,SUV,4543,Tohoku
2012,February,Nissan,Convertible,1653,Kyushu
2024,January,Subaru,Hatchback,4785,Hokkaido
2010,February,Honda,Hatchback,1785,Shikoku
2024,April,Nissan,Sedan,1911,Chubu
2017,June,Honda,Sedan,4637,Chubu
2024,November,Subaru,Truck,4459,Kansai
2011,May,Honda,SUV,4414,Shikoku
2012,May,Subaru,Truck,3022,Chugoku
2016,September,Mazda,SUV,4679,Chubu
2011,August,Toyota,Hatchback,1124,Kyushu
2013,March,Subaru,Truck,3651,Kansai
2021,May,Nissan,Convertible,3589,Hokkaido
2020,June,Subaru,Hatchback,4363,Tohoku
2022,March,Honda,Convertible,4520,Kanto
2014,October,Mazda,Hatchback,2663,Kanto
2018,April,Nissan,Sedan,4455,Hokkaido
2021,February,Subaru,Sedan,2611,Tohoku
2014,July,Toyota,Hatchback,2780,Hokkaido
2013,May,Mazda,Truck,1395,Hokkaido
2011,March,Subaru,Convertible,3266,Shikoku
2014,June,Nissan,Convertible,4799,Chugoku
2013,July,Toyota,Truck,1331,Shikoku
2010,July,Subaru,Convertible,4738,Kyushu
2016,November,Subaru,SUV,2951,Kansai
2014,June,Subaru,Hatchback,3036,Shikoku
2015,September,Honda,Convertible,3753,Chubu
2018,August,Honda,Convertible,2407,Shikoku
2018,March,Toyota,SUV,2794,Tohoku
2023,July,Toyota,SUV,1214,Tohoku
2018,September,Subaru,SUV,3604,Kanto
2011,March,Nissan,Hatchback,4029,Chugoku
2018,December,Honda,Sedan,4654,Kanto
2017,March,Toyota,Sedan,1678,Tohoku
2013,May,Honda,Hatchback,2410,Hokkaido
2021,July,Toyota,Sedan,2807,Shikoku
2014,March,Subaru,Hatchback,1995,Kansai
2011,June,Subaru,Truck,3726,Chubu
2015,February,Honda,Convertible,1691,Chugoku
2011,August,Toyota,Hatchback,3913,Kyushu
2011,June,Toyota,SUV,3289,Chubu
2017,January,Nissan,Convertible,2333,Hokkaido
2014,March,Nissan,Convertible,2855,Chubu
2015,January,Toyota,Sedan,1845,Kyushu
2013,September,Subaru,Truck,4563,Shikoku
2016,September,Nissan,Hatchback,2152,Kanto
2022,November,Subaru,Convertible,1772,Chugoku
2019,July,Toyota,Truck,4209,Kansai
2023,March,Subaru,Convertible,1738,Tohoku
2024,May,Toyota,Sedan,4291,Kansai
2020,September,Toyota,Hatchback,3780,Kyushu
2015,May,Subaru,Hatchback,3436,Shikoku
2011,March,Mazda,Sedan,1729,Hokkaido
2014,May,Mazda,Truck,1455,Tohoku
2018,October,Mazda,SUV,3501,Kyushu
2013,August,Nissan,Sedan,1827,Kansai
2023,March,Honda,Truck,3397,Hokkaido
2017,February,Mazda,Truck,1283,Chubu
2019,March,Mazda,Truck,2283,Kyushu
2021,September,Toyota,Convertible,4469,Chugoku
2015,February,Mazda,Hatchback,4586,Hokkaido
2022,July,Honda,Sedan,2560,Chubu
2020,March,Mazda,Truck,3852,Chugoku
2010,October,Honda,Convertible,4679,Shikoku
2022,May,Subaru,Hatchback,4343,Kyushu
2024,October,Subaru,Truck,3730,Kansai
2016,July,Toyota,Truck,1276,Tohoku
2011,September,Mazda,Sedan,3930,Chugoku
2013,August,Toyota,Sedan,4403,Shikoku
2015,September,Toyota,Hatchback,2198,Shikoku
2012,August,Toyota,Convertible,4566,Chugoku
2017,May,Nissan,Hatchback,2574,Kanto
2012,February,Toyota,Convertible,4410,Kansai
2021,March,Nissan,Hatchback,3950,Kyushu
2013,July,Mazda,SUV,4443,Shikoku
2018,September,Nissan,Sedan,3841,Kyushu
2016,July,Toyota,SUV,3981,Kansai
2019,March,Nissan,Truck,4333,Hokkaido
2010,October,Nissan,Hatchback,3775,Kyushu
2010,March,Subaru,Sedan,2141,Kanto
2018,January,Honda,SUV,3317,Kansai
2014,February,Subaru,Convertible,4245,Kanto
2022,June,Honda,Convertible,3205,Hokkaido
2016,September,Mazda,SUV,4742,Tohoku
2016,February,Toyota,Convertible,1545,Hokkaido
2015,May,Nissan,SUV,4317,Kanto
2016,September,Honda,SUV,3072,Shikoku
2011,August,Subaru,SUV,4609,Kyushu
2015,January,Subaru,Sedan,3715,Chubu
2010,October,Subaru,Truck,4304,Kansai
2016,May,Toyota,Hatchback,4695,Kansai
2013,December,Toyota,Hatchback,2515,Kansai
2013,December,Mazda,Convertible,1812,Kanto
2023,December,Mazda,Truck,4152,Kansai
2014,February,Honda,Convertible,1174,Chubu
2018,September,Toyota,Hatchback,3884,Chugoku
2012,April,Honda,Convertible,3192,Kansai
2021,June,Honda,Sedan,2669,Kanto
2019,April,Mazda,SUV,3219,Hokkaido
2019,January,Honda,Truck,4991,Kyushu
2023,October,Toyota,Hatchback,2552,Kansai
2014,May,Subaru,Convertible,4483,Chubu
2021,June,Nissan,SUV,4668,Chubu
2012,March,Honda,Sedan,2631,Chubu
2023,June,Subaru,Sedan,3495,Shikoku
2015,May,Mazda,SUV,3901,Kanto
2012,February,Subaru,Sedan,4189,Chubu
2019,June,Nissan,Hatchback,3640,Kansai
2015,February,Toyota,Sedan,1908,Kyushu
2020,September,Honda,Sedan,1993,Chubu
2022,June,Toyota,Convertible,2236,Kyushu
2023,July,Honda,Sedan,2541,Chugoku
2017,November,Honda,Truck,2287,Kansai
2024,January,Nissan,Convertible,1665,Chugoku
2021,April,Toyota,Convertible,1968,Kanto
2010,May,Mazda,Hatchback,2448,Tohoku
2014,September,Honda,Truck,2913,Chugoku
2017,December,Subaru,Sedan,3016,Hokkaido
2023,December,Nissan,Truck,4357,Shikoku
2011,September,Mazda,Hatchback,3041,Kansai
2011,April,Subaru,Hatchback,1494,Kanto
2018,October,Nissan,SUV,1602,Shikoku
2011,September,Honda,SUV,3273,Kyushu
2020,April,Mazda,Hatchback,2360,Kyushu
2021,January,Mazda,Truck,4488,Kanto
2023,July,Mazda,SUV,4958,Kanto
2016,May,Mazda,Sedan,3760,Tohoku
2014,May,Mazda,Convertible,2825,Shikoku
2012,October,Honda,Truck,2209,Shikoku
2022,January,Mazda,Sedan,3818,Hokkaido
2020,September,Honda,Convertible,4109,Shikoku
2023,May,Subaru,Sedan,2814,Shikoku
2017,December,Subaru,Sedan,3897,Chugoku
2015,August,Toyota,Hatchback,2443,Kyushu
2024,February,Honda,Sedan,3252,Chubu
2013,November,Nissan,Hatchback,4607,Kanto
2012,May,Honda,Sedan,3102,Shikoku
2017,May,Mazda,Hatchback,3971,Chubu
2015,July,Mazda,Convertible,1049,Kanto
2015,January,Subaru,SUV,2512,Kanto
2016,February,Subaru,Convertible,4616,Chubu
2012,August,Nissan,SUV,1545,Hokkaido
2020,July,Subaru,SUV,4430,Shikoku
2016,March,Subaru,Convertible,3601,Tohoku
2015,May,Honda,SUV,4854,Kanto
2014,May,Honda,Hatchback,2542,Tohoku
2010,September,Mazda,SUV,4138,Hokkaido
2015,March,Nissan,Sedan,2952,Kansai
2016,April,Subaru,Truck,3763,Kansai
2011,November,Honda,Truck,1664,Hokkaido
2017,February,Honda,SUV,3046,Chugoku
2019,August,Honda,Hatchback,3567,Kyushu
2024,August,Subaru,Sedan,4077,Kanto
